,Country,Visas_2022,Population,Visas_adjusted,Ireland
2,Ireland,3651,5033165.0,725.3884980921548,1
9,Estonia,332,1330932.0,249.44925811386307,0
0,United Kingdom,7209,67326569.0,107.07511324392604,0
1,France,4167,67749632.0,61.505869138890674,0
14,Malta,25,518536.0,48.2126602588827,0
3,Italy,2738,59109668.0,46.320679723662124,0
7,Netherlands,669,17533044.0,38.15652319129524,0
6,Canada,1240,38246108.0,32.421599604330986,0
11,Denmark,184,5856733.0,31.41683255835634,0
8,Belgium,340,11592952.0,29.328164215637223,0
